2017/01/10 16:20:09 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Loading user properties from: D:\JMeterCustomSampler\umapi\config\log4j.properties 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Loading system properties from: D:\Program Files\apache-jmeter-2.9\bin\system.properties 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Copyright (c) 1998-2013 The Apache Software Foundation 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Version 2.9 r1437961 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: java.version=1.6.0_35 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) Client VM 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: os.name=Windows 7 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: os.arch=x86 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: os.version=6.1 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: JMeterHome=D:\Program Files\apache-jmeter-2.9 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: user.dir  =D:\Program Files\apache-jmeter-2.9\bin 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: PWD       =D:\Program Files\apache-jmeter-2.9\bin 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: IP: 192.168.1.63 Name: PC7KC1SUPT02 FullName: PC7KC1SUPT02.netsdomain.nets.com.sg 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: user.classpath=D:/JMeterCustomSampler/umapi/config;D:/JMeterCustomSampler/umapi/lib/castor-0.9.7.jar;D:/JMeterCustomSampler/umapi/lib/commons-codec-1.3.jar;D:/JMeterCustomSampler/umapi/lib/commons-httpclient-3.0-rc3.jar;D:/JMeterCustomSampler/umapi/lib/commons-lang.jar;D:/JMeterCustomSampler/umapi/lib/commons-logging.jar;D:/JMeterCustomSampler/umapi/lib/cryptix-jce-api.jar;D:/JMeterCustomSampler/umapi/lib/cryptix-jce-provider.jar;D:/JMeterCustomSampler/umapi/lib/cryptix-message-api.jar;D:/JMeterCustomSampler/umapi/lib/cryptix-openpgp-provider.jar;D:/JMeterCustomSampler/umapi/lib/cryptix-pki-api.jar;D:/JMeterCustomSampler/umapi/lib/dom4j.jar;D:/JMeterCustomSampler/umapi/lib/log4j-1.2.9.jar;D:/JMeterCustomSampler/umapi/lib/umapi_v1.3.jar;D:/JMeterCustomSampler/umapi/lib/xerces.jar;D:/JMeterCustomSampler/sfa/config;D:/JMeterCustomSampler/sfa/lib/SFAv3.2_1.jar;D:/JMeterCustomSampler/sfa/lib/HTTPClient.jar;D:/JMeterCustomSampler/sfa/lib/Utils.jar;D:/JMeterCustomSampler/epg/config;D:/JMeterCustomSampler/epg/lib/epg-helpers.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/config 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/lib/castor-0.9.7.jar 
2017/01/10 16:20:10 WARN  - jmeter.JMeter: Can't read D:/JMeterCustomSampler/umapi/lib/commons-codec-1.3.jar 
2017/01/10 16:20:10 WARN  - jmeter.JMeter: Can't read D:/JMeterCustomSampler/umapi/lib/commons-httpclient-3.0-rc3.jar 
2017/01/10 16:20:10 WARN  - jmeter.JMeter: Can't read D:/JMeterCustomSampler/umapi/lib/commons-lang.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/lib/commons-logging.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/lib/cryptix-jce-api.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/lib/cryptix-jce-provider.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/lib/cryptix-message-api.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/lib/cryptix-openpgp-provider.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/lib/cryptix-pki-api.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/lib/dom4j.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/lib/log4j-1.2.9.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/lib/umapi_v1.3.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/umapi/lib/xerces.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/sfa/config 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/sfa/lib/SFAv3.2_1.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/sfa/lib/HTTPClient.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/sfa/lib/Utils.jar 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/epg/config 
2017/01/10 16:20:10 INFO  - jmeter.JMeter: Adding to classpath: D:/JMeterCustomSampler/epg/lib/epg-helpers.jar 
2017/01/10 16:20:10 INFO  - jmeter.engine.RemoteJMeterEngineImpl: Starting backing engine on 1099 
2017/01/10 16:20:10 INFO  - jmeter.engine.RemoteJMeterEngineImpl: IP address=192.168.1.63 
2017/01/10 16:20:10 INFO  - jmeter.engine.RemoteJMeterEngineImpl: IP address is a site-local address; this may cause problems with remote access.
	Can be overridden by defining the system property 'java.rmi.server.hostname' - see jmeter-server script file 
2017/01/10 16:20:10 INFO  - jmeter.engine.RemoteJMeterEngineImpl: Creating RMI registry (server.rmi.create=true) 
2017/01/10 16:20:10 INFO  - jmeter.engine.RemoteJMeterEngineImpl: Bound to registry on port 1099 
2017/01/10 16:28:08 INFO  - jmeter.samplers.DiskStoreSampleSender: Using DiskStoreSampleSender for this test run 
2017/01/10 16:28:08 INFO  - jmeter.samplers.DiskStoreSampleSender: Using DiskStoreSampleSender for this test run 
2017/01/10 16:28:08 INFO  - jmeter.samplers.DiskStoreSampleSender: Using DiskStoreSampleSender for this test run 
2017/01/10 16:28:08 INFO  - jmeter.samplers.DiskStoreSampleSender: Using DiskStoreSampleSender for this test run 
2017/01/10 16:28:08 INFO  - jmeter.engine.RemoteJMeterEngineImpl: Creating JMeter engine on host 192.168.1.63 base '2015-09-23_2' 
2017/01/10 16:28:08 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2017/01/10 16:28:08 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2017/01/10 16:28:08 INFO  - jmeter.services.FileServer: Default base='D:\Program Files\apache-jmeter-2.9\bin' 
2017/01/10 16:28:08 INFO  - jmeter.services.FileServer: Set new base='2015-09-23_2' 
2017/01/10 16:28:08 INFO  - jmeter.engine.StandardJMeterEngine: Applying properties {} 
2017/01/10 16:28:08 INFO  - jmeter.engine.RemoteJMeterEngineImpl: Running test 
2017/01/10 16:28:08 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2017/01/10 16:28:08 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/01/10 16:28:08 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/01/10 16:28:08 INFO  - jmeter.protocol.java.sampler.JavaSampler: Created class: com.enets.loadtest.UmapiS2STest. Uses tearDownTest: false 
2017/01/10 16:28:08 INFO  - jmeter.protocol.java.sampler.JavaSampler: Created class: com.enets.loadtest.SFATest. Uses tearDownTest: false 
2017/01/10 16:28:08 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group - UMAPI 
2017/01/10 16:28:08 INFO  - jmeter.engine.StandardJMeterEngine: Starting 120 threads for group Thread Group - UMAPI. 
2017/01/10 16:28:08 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2017/01/10 16:28:08 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 120 ramp-up 300 perThread 2500.0 delayedStart=false 
2017/01/10 16:28:08 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2017/01/10 16:28:08 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2017/01/10 16:28:08 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-1 
2017/01/10 16:28:08 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2017/01/10 16:28:08 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2017/01/10 16:28:08 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2017/01/10 16:28:08 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2017/01/10 16:28:08 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/01/10 16:28:08 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : Thread Group - SFA 
2017/01/10 16:28:08 INFO  - jmeter.engine.StandardJMeterEngine: Starting 80 threads for group Thread Group - SFA. 
2017/01/10 16:28:08 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2017/01/10 16:28:08 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 80 ramp-up 300 perThread 3750.0 delayedStart=false 
2017/01/10 16:28:08 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-1 
2017/01/10 16:28:08 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2017/01/10 16:28:08 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/01/10 16:28:11 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-2 
2017/01/10 16:28:12 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-2 
2017/01/10 16:28:13 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-3 
2017/01/10 16:28:16 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-4 
2017/01/10 16:28:16 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-3 
2017/01/10 16:28:18 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-5 
2017/01/10 16:28:20 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-4 
2017/01/10 16:28:21 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-6 
2017/01/10 16:28:23 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-7 
2017/01/10 16:28:23 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-5 
2017/01/10 16:28:26 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-8 
2017/01/10 16:28:27 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-6 
2017/01/10 16:28:28 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-9 
2017/01/10 16:28:31 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-10 
2017/01/10 16:28:31 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-7 
2017/01/10 16:28:33 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-11 
2017/01/10 16:28:35 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-8 
2017/01/10 16:28:36 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-12 
2017/01/10 16:28:38 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-13 
2017/01/10 16:28:38 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-9 
2017/01/10 16:28:41 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-14 
2017/01/10 16:28:42 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-10 
2017/01/10 16:28:43 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-15 
2017/01/10 16:28:46 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-16 
2017/01/10 16:28:46 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-11 
2017/01/10 16:28:48 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-17 
2017/01/10 16:28:50 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-12 
2017/01/10 16:28:51 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-18 
2017/01/10 16:28:53 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-19 
2017/01/10 16:28:53 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-13 
2017/01/10 16:28:56 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-20 
2017/01/10 16:28:57 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-14 
2017/01/10 16:28:58 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-21 
2017/01/10 16:29:01 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - UMAPI 1-22 
2017/01/10 16:29:01 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group - SFA 2-15 
